Date,Pet_ID,Species,Breed,Gender,Age_Years,Current_Weight_kg,Daily_Feed_g,Activity_Min_per_Day,BMI_Index,Risk_Prediction,AI_Confidence,Suggested_Action,Early_Warning,Vet_Override
2025-09-05,1,Dog,Labrador,Female,5.6,38.2,1208.1,40,6.26,Healthy,0.96,Maintain current routine,No,No
2025-09-06,1,Dog,Labrador,Female,5.6,38.14,1208.1,23,6.25,Healthy,0.91,Maintain current routine,No,No
2025-09-07,1,Dog,Labrador,Female,5.6,38.1,1165.2,40,6.25,Healthy,0.82,Maintain current routine,No,No
2025-09-08,1,Dog,Labrador,Female,5.6,38.01,1172.1,41,6.23,Healthy,0.76,Maintain current routine,No,No
2025-09-09,1,Dog,Labrador,Female,5.6,38.09,1206.0,29,6.24,Healthy,0.84,Maintain current routine,No,No
2025-09-10,1,Dog,Labrador,Female,5.6,38.17,1216.8,39,6.26,Healthy,0.76,Maintain current routine,No,No
2025-09-11,1,Dog,Labrador,Female,5.6,38.08,1172.1,38,6.24,Healthy,0.98,Maintain current routine,No,Yes
2025-09-12,1,Dog,Labrador,Female,5.6,38.24,1473.7,33,6.27,Healthy,0.82,Maintain current routine,No,No
2025-09-13,1,Dog,Labrador,Female,5.6,38.34,1144.4,40,6.29,Healthy,0.9,Maintain current routine,No,No
2025-09-14,1,Dog,Labrador,Female,5.6,38.26,1140.8,27,6.27,Healthy,0.97,Maintain current routine,No,Yes
2025-09-15,1,Dog,Labrador,Female,5.6,38.29,1307.1,23,6.28,Healthy,0.8,Maintain current routine,No,No
2025-09-16,1,Dog,Labrador,Female,5.6,38.25,1149.9,23,6.27,Healthy,0.98,Maintain current routine,No,No
2025-09-17,1,Dog,Labrador,Female,5.6,38.17,1328.4,31,6.26,Healthy,0.8,Maintain current routine,No,No
2025-09-18,1,Dog,Labrador,Female,5.6,38.35,1258.2,44,6.29,Healthy,0.95,Maintain current routine,No,No
2025-09-19,1,Dog,Labrador,Female,5.6,38.36,1332.8,32,6.29,Healthy,0.82,Maintain current routine,No,No
2025-09-20,1,Dog,Labrador,Female,5.6,38.31,1170.5,32,6.28,Healthy,0.94,Maintain current routine,No,No
2025-09-21,1,Dog,Labrador,Female,5.6,38.33,1231.7,20,6.28,Healthy,0.82,Maintain current routine,No,Yes
2025-09-22,1,Dog,Labrador,Female,5.6,38.29,1203.0,30,6.28,Healthy,0.92,Maintain current routine,No,No
2025-09-23,1,Dog,Labrador,Female,5.6,38.43,1133.2,22,6.3,Healthy,0.9,Maintain current routine,No,No
2025-09-24,1,Dog,Labrador,Female,5.6,38.36,1198.8,21,6.29,Healthy,0.84,Maintain current routine,No,No
2025-09-25,1,Dog,Labrador,Female,5.6,38.34,1354.6,43,6.29,Healthy,0.88,Maintain current routine,No,No
2025-09-26,1,Dog,Labrador,Female,5.6,38.27,1450.6,22,6.27,Healthy,0.92,Maintain current routine,No,No
2025-09-27,1,Dog,Labrador,Female,5.6,38.25,1121.5,20,6.27,Healthy,0.76,Maintain current routine,No,No
2025-09-28,1,Dog,Labrador,Female,5.6,38.28,1334.1,34,6.28,Healthy,0.76,Maintain current routine,No,No
2025-09-29,1,Dog,Labrador,Female,5.6,38.32,1255.7,32,6.28,Healthy,0.89,Maintain current routine,No,No
2025-09-30,1,Dog,Labrador,Female,5.6,38.49,1223.0,23,6.31,Healthy,0.81,Maintain current routine,No,No
2025-10-01,1,Dog,Labrador,Female,5.6,38.64,1061.6,32,6.34,Healthy,0.89,Maintain current routine,No,No
2025-10-02,1,Dog,Labrador,Female,5.6,38.59,1260.6,38,6.33,Healthy,0.97,Maintain current routine,No,No
2025-10-03,1,Dog,Labrador,Female,5.6,38.63,1161.5,32,6.33,Healthy,0.8,Maintain current routine,No,No
2025-10-04,1,Dog,Labrador,Female,5.6,38.79,1197.9,39,6.36,Healthy,0.88,Maintain current routine,No,No
2025-10-05,1,Dog,Labrador,Female,5.6,38.72,1198.8,42,6.35,Healthy,0.8,Maintain current routine,No,No
2025-10-06,1,Dog,Labrador,Female,5.6,38.87,1320.3,44,6.37,Healthy,0.96,Maintain current routine,No,No
2025-10-07,1,Dog,Labrador,Female,5.6,38.92,1252.8,26,6.38,Healthy,0.92,Maintain current routine,No,No
2025-10-08,1,Dog,Labrador,Female,5.6,38.92,1082.5,29,6.38,Healthy,0.98,Maintain current routine,No,No
2025-10-09,1,Dog,Labrador,Female,5.6,38.94,1274.3,41,6.38,Healthy,0.77,Maintain current routine,No,Yes
2025-10-10,1,Dog,Labrador,Female,5.6,38.92,1056.6,39,6.38,Healthy,0.92,Maintain current routine,No,No
2025-10-11,1,Dog,Labrador,Female,5.6,38.84,1104.4,22,6.37,Healthy,0.9,Maintain current routine,No,No
2025-10-12,1,Dog,Labrador,Female,5.6,38.86,1114.3,21,6.37,Healthy,0.76,Maintain current routine,No,No
2025-10-13,1,Dog,Labrador,Female,5.6,38.93,1414.4,20,6.38,Healthy,0.86,Maintain current routine,No,No
2025-10-14,1,Dog,Labrador,Female,5.6,38.9,1368.9,25,6.38,Healthy,0.91,Maintain current routine,No,No
2025-10-15,1,Dog,Labrador,Female,5.6,39.02,1073.5,30,6.4,Healthy,0.86,Maintain current routine,No,No
2025-10-16,1,Dog,Labrador,Female,5.6,39.1,1154.4,21,6.41,Healthy,0.88,Maintain current routine,No,No
2025-10-17,1,Dog,Labrador,Female,5.6,39.15,1182.3,35,6.42,Healthy,0.92,Maintain current routine,No,No
