Pet_ID,Species,Breed,Age_Years,Weight_kg,Gender,Activity_Level,Medical_Condition,Ideal_Weight_kg,Calorie_Requirement_kcal,Protein_%,Fat_%,Carbs_%,Daily_Meal_Portion_g,Meals_Per_Day,Portion_Per_Meal_g,Adaptivity_Index
517f2800-3e3f-40bd-8cac-052d535c9fd5,Dog,Bulldog,0.9,30.0,Female,Low,Obesity,31.4,915.2,27.1,11.5,61.4,261.5,2,130.8,0.74
b799bc4f-1ab5-461e-a339-72cf567c747c,Dog,Ragdoll,1.8,23.6,Female,Low,None,24.1,899.4,26.4,13.5,60.1,257.0,2,128.5,0.66
f364dd66-8b7d-423e-ba55-08b7b165f96c,Dog,Ragdoll,3.4,22.7,Female,Low,Allergies,20.7,873.6,33.8,22.1,44.1,249.6,2,124.8,0.3
202ab37f-5a4b-4922-a9f9-da01a9336f2b,Dog,German Shepherd,10.6,22.7,Female,Moderate,Obesity,24.4,866.3,28.2,21.5,50.3,247.5,3,82.5,0.36
ad345f75-d949-46a8-baa4-785a4f361298,Cat,Siamese Cat,1.9,8.2,Female,High,Diabetes,7.4,488.5,37.1,20.9,42.0,139.6,4,34.9,0.62
2d3924ca-69ea-4c98-8d4e-70101b5fe937,Cat,Siamese Cat,1.6,6.5,Female,High,Joint Issues,7.1,455.9,38.3,15.4,46.3,130.3,4,32.6,0.42
4562b764-fcbb-496d-a41d-a6f15c476703,Dog,Bulldog,1.2,20.3,Male,Moderate,None,19.0,937.2,37.8,23.0,39.2,267.8,3,89.3,0.53
d28e9ceb-ec8d-4e50-bfb0-68c2834469ee,Dog,Maine Coon,9.7,30.4,Female,Low,Diabetes,28.5,978.8,30.3,20.1,49.6,279.7,2,139.8,0.72
e49fe3a9-f8d4-403a-8b13-cec98e896206,Dog,Bulldog,9.3,27.4,Male,High,Obesity,27.0,1140.1,27.5,15.7,56.8,325.7,4,81.4,0.89
4db76181-d96c-451d-a95d-3236f6bea0c8,Dog,Ragdoll,3.7,5.9,Female,Low,Obesity,5.7,270.3,37.3,22.1,40.6,77.2,2,38.6,0.54
bce081b2-837e-4d15-8a7c-0d08ace1268c,Dog,Bulldog,3.6,14.9,Female,Low,Allergies,14.3,637.0,30.9,23.7,45.4,182.0,2,91.0,0.58
c3b37054-b43f-4989-a7df-5ebb553e0ed2,Dog,Beagle,2.5,28.1,Female,High,Joint Issues,27.3,1366.9,31.4,18.8,49.8,390.5,4,97.6,0.52
9ee50257-853f-4325-9aa1-05574b2ac390,Dog,German Shepherd,7.9,39.7,Male,Low,None,37.3,1328.5,27.3,12.4,60.3,379.6,2,189.8,0.71
a328de0e-67ae-4109-8cfa-14ce92749916,Dog,British Shorthair,1.4,22.7,Female,High,Allergies,22.8,1164.8,32.9,24.6,42.5,332.8,4,83.2,0.82
4afac43d-5b7c-4c91-8962-9da10fb13d58,Dog,Golden Retriever,10.4,19.6,Male,High,Joint Issues,20.0,1043.3,36.3,21.5,42.2,298.1,4,74.5,0.5
324ebd3d-78ba-4879-804e-f95cbdd099e4,Dog,Beagle,6.8,26.1,Female,Low,Diabetes,24.4,873.0,39.6,21.4,39.0,249.4,2,124.7,0.6
f1221f7e-bbb9-4c6e-b33c-5f702ad69e3e,Dog,Bulldog,13.1,19.0,Female,High,Joint Issues,19.7,1019.3,34.1,12.3,53.6,291.2,4,72.8,0.76
6752fe0f-77f2-4707-88b9-4364464c1122,Dog,Ragdoll,14.3,22.1,Male,High,Diabetes,21.8,1027.4,32.3,11.7,56.0,293.5,4,73.4,0.52
511449c3-5248-4991-8a23-2c62932b30c3,Dog,Beagle,4.0,24.9,Male,High,None,22.6,1248.4,26.3,17.3,56.4,356.7,4,89.2,0.34
44479a90-9eee-483a-9d63-673725d6f727,Dog,Ragdoll,11.6,14.4,Male,High,Allergies,15.6,827.9,39.2,12.5,48.3,236.5,4,59.1,0.62
cef16c2b-3813-417a-8d83-dd1dd1e04685,Dog,British Shorthair,6.6,33.2,Male,High,Obesity,31.9,1316.7,35.7,16.0,48.3,376.2,4,94.0,0.7
34172b2c-d80c-44ff-9b29-9ccbe5813f8b,Cat,Persian Cat,6.9,2.6,Female,Low,Obesity,2.6,146.2,28.4,15.1,56.5,41.8,2,20.9,0.65
