Location,Search_Term,Search_Volume,Vet_Reported_Cases,Weather,Humidity_Index,Risk_Level
Warakapola,lethargy,21,6,dry,2,Medium
Wellawaya,eye infection,7,2,rainy,6,Low
Hikkaduwa,itchy skin,2,9,rainy,6,Medium
Kelaniya,fleas,17,5,dry,2,Medium
Wariyapola,ticks,3,7,rainy,6,Medium
Ganemulla,ticks,0,10,rainy,6,Medium
Dambulla,dog vomiting,22,15,hot,4,High
Hikkaduwa,fleas,8,2,dry,2,Low
Ratnapura,lethargy,24,0,rainy,6,Medium
Monaragala,loss of appetite,18,5,dry,2,Medium
Ginigathhena,ticks,6,3,dry,2,Low
Avissawella,fleas,10,0,humid,10,Medium
Mannar,fleas,10,2,rainy,6,Medium
Kandy,itchy skin,5,4,rainy,6,Low
Dankotuwa,dog vomiting,12,4,dry,2,Medium
Gonapola,dog fever,10,7,rainy,6,Medium
Passara,kennel cough,15,6,humid,10,Medium
Kothmale,eye infection,3,0,dry,2,Low
Aluthgama,dog coughing,2,10,humid,10,Medium
Haputale,ticks,16,2,dry,2,Medium
Kandana,ticks,14,1,hot,4,Medium
Deniyaya,dog coughing,15,0,humid,10,Medium
Ratnapura,loss of appetite,7,7,rainy,6,Medium
Jaffna,kennel cough,10,4,hot,4,Medium
Maharagama,dog fever,6,0,rainy,6,Low
Weeraketiya,dog vomiting,4,2,humid,10,Low
Negombo,fleas,10,11,rainy,6,Medium
Hanwella,dog vomiting,15,0,dry,2,Medium
Galewela,dog fever,11,6,dry,2,Medium
Dambulla,kennel cough,9,7,hot,4,Medium
Anuradhapura,eye infection,12,0,rainy,6,Medium
Ampara,dog coughing,20,7,dry,2,Medium
Warakapola,loss of appetite,11,0,dry,2,Low
Kalutara,itchy skin,14,0,rainy,6,Medium
Aluthgama,dog vomiting,4,3,hot,4,Low
Wattala,ticks,10,7,rainy,6,Medium
Point Pedro,ticks,18,8,rainy,6,High
Galgamuwa,itchy skin,1,5,dry,2,Low
Kuliyapitiya,dog vomiting,7,1,dry,2,Low
Horana,lethargy,5,4,dry,2,Low
Ratnapura,dog coughing,0,0,humid,10,Low
Moratuwa,ticks,16,12,dry,2,High
Passara,lethargy,12,2,hot,4,Medium
Ragama,dog vomiting,5,12,dry,2,Medium
Ja-Ela,dog coughing,19,1,humid,10,Medium
Jaffna,loss of appetite,13,0,dry,2,Low
Galle,ticks,25,4,hot,4,High
Badulla,itchy skin,13,0,hot,4,Medium
Matugama,dog coughing,10,7,rainy,6,Medium
Jaffna,eye infection,9,0,dry,2,Low
Matara,dog fever,2,1,dry,2,Low
Weeraketiya,kennel cough,7,6,rainy,6,Medium
Aluthgama,ticks,13,6,hot,4,Medium
Kuliyapitiya,dog vomiting,19,8,humid,10,High
Buttala,eye infection,11,4,humid,10,Medium
Kuliyapitiya,lethargy,20,8,rainy,6,High
Galgamuwa,itchy skin,15,12,dry,2,High
Kandy,itchy skin,18,6,hot,4,Medium
Mannar,fleas,18,3,humid,10,Medium
Mapalana,eye infection,10,0,dry,2,Low
Marawila,dog vomiting,10,6,rainy,6,Medium
Warakapola,loss of appetite,12,4,hot,4,Medium
Buttala,ticks,20,1,rainy,6,Medium
Rathmalana,ticks,0,2,rainy,6,Low
Kadawatha,eye infection,2,0,rainy,6,Low
Katunayake,loss of appetite,15,13,hot,4,High
Polonnaruwa,itchy skin,7,1,hot,4,Low
Gonapola,dog fever,1,0,rainy,6,Low
Puttalam,fleas,0,2,hot,4,Low
Maharagama,loss of appetite,9,4,dry,2,Medium
Maskeliya,itchy skin,0,5,dry,2,Low
Trincomalee,dog vomiting,23,0,humid,10,Medium
Dambulla,dog vomiting,7,7,rainy,6,Medium
Kandana,eye infection,4,3,humid,10,Medium
Kahawatte,dog fever,9,0,humid,10,Medium
Kalawana,eye infection,8,11,dry,2,Medium
Dambulla,kennel cough,13,5,hot,4,Medium
Dambulla,dog fever,21,9,hot,4,High
Ganemulla,ticks,4,4,humid,10,Medium
Batticaloa,kennel cough,11,3,humid,10,Medium
Ratnapura,itchy skin,20,5,rainy,6,Medium
Matale,loss of appetite,11,0,humid,10,Medium
Kosgama,dog coughing,10,7,hot,4,Medium
Buttala,dog coughing,21,1,hot,4,Medium
Homagama,dog fever,11,3,humid,10,Medium
Buttala,kennel cough,26,4,dry,2,High
Avissawella,dog fever,6,2,humid,10,Medium
Weeraketiya,ticks,20,8,rainy,6,High
Minuwangoda,loss of appetite,0,6,humid,10,Medium
Chilaw,itchy skin,3,0,humid,10,Low
Gampaha,dog vomiting,7,9,dry,2,Medium
Negombo,ticks,12,11,humid,10,High
Vavuniya,lethargy,2,3,humid,10,Low
Boralesgamuwa,kennel cough,18,4,hot,4,Medium
Seeduwa,dog vomiting,4,3,dry,2,Low
Warakapola,itchy skin,15,7,dry,2,Medium
Vavuniya,lethargy,3,1,dry,2,Low
Moratuwa,dog coughing,14,1,dry,2,Medium
Narammala,loss of appetite,8,2,hot,4,Low
Point Pedro,lethargy,19,5,humid,10,High
Kurunegala,dog fever,22,0,rainy,6,Medium
Kilinochchi,kennel cough,13,2,humid,10,Medium
Trincomalee,fleas,11,1,dry,2,Low
Dehiwala,eye infection,21,2,hot,4,Medium
Hatton,dog coughing,9,7,rainy,6,Medium
Chilaw,kennel cough,12,5,hot,4,Medium
Kelaniya,kennel cough,4,13,rainy,6,Medium
Puttalam,loss of appetite,10,5,humid,10,Medium
Kothmale,itchy skin,7,2,humid,10,Medium
Kataragama,lethargy,12,5,humid,10,Medium
Batticaloa,itchy skin,7,1,rainy,6,Low
Weligama,loss of appetite,7,4,hot,4,Low
